Date,Open,High,Low,Close,Adj Close,Volume
08-12-2022,10.365,10.72,10.259,10.64,10.64,10387700
09-12-2022,10.6,11.095,10.44,10.95,10.95,12491300
12-12-2022,10.9,11.55,10.75,11.51,11.51,20538100
13-12-2022,12.085,12.54,11.56,11.6,11.6,18781500
14-12-2022,11.66,12.14,11.485,11.89,11.89,13563300
15-12-2022,11.6,11.77,11.23,11.35,11.35,12223500
16-12-2022,11.25,11.475,10.98,11.09,11.09,20147300
19-12-2022,11.11,11.15,10.255,10.32,10.32,12151600
20-12-2022,10.25,10.47,10.15,10.36,10.36,10131200
21-12-2022,10.59,10.71,10.39,10.48,10.48,9699500
22-12-2022,10.33,10.36,9.835,10.1,10.1,12757300
23-12-2022,10.07,10.23,9.83,10.21,10.21,7836700
27-12-2022,10.05,10.09,9.72,9.87,9.87,9661200
28-12-2022,9.84,10.25,9.66,10.12,10.12,9531300
29-12-2022,10.27,10.87,10.06,10.85,10.85,10395300
30-12-2022,10.58,11.27,10.56,11.02,11.02,11302800
03-01-2023,11.3,11.43,10.97,11.12,11.12,8644100
04-01-2023,11.31,11.5,11.125,11.49,11.49,11343400
05-01-2023,11.39,11.57,11.06,11.36,11.36,7601500
06-01-2023,11.42,12.01,11.12,11.94,11.94,11954500
09-01-2023,12.24,13.27,12.15,12.7,12.7,22063000
10-01-2023,12.6,13.37,12.6,13.31,13.31,14150000
11-01-2023,13.26,13.95,13.21,13.84,13.84,20206600
12-01-2023,14.1,14.58,13.77,14.55,14.55,13261500
13-01-2023,14.32,14.61,14.15,14.49,14.49,12249600
17-01-2023,14.4,14.6,14.034,14.35,14.35,11654100
18-01-2023,14.69,14.87,14.14,14.35,14.35,15556000
19-01-2023,14.15,14.49,13.84,14.21,14.21,11483900
20-01-2023,14.44,15.46,14.4,15.4,15.4,16875900
23-01-2023,15.48,15.74,15.08,15.41,15.41,14384700
24-01-2023,16.110001,16.129999,15.29,15.3,15.3,18609400
25-01-2023,14.94,15.88,14.65,15.86,15.86,16116200
26-01-2023,16.15,16.299999,15.213,15.36,15.36,15725000
27-01-2023,15.23,16.469999,15.18,16.18,16.18,12648200
30-01-2023,15.59,16.01,15.471,15.55,15.55,10076000
31-01-2023,15.69,16.528,15.69,16.25,16.25,10345300
01-02-2023,16.24,17.24,16.16,16.9,16.9,12936500
02-02-2023,17.219999,17.57,16.965,17.549999,17.549999,17475000
03-02-2023,16.91,17.629999,16.754999,17.379999,17.379999,12202200
06-02-2023,16.83,17.545,16.665001,17.35,17.35,13691500
07-02-2023,17.35,18.01,17.059999,17.93,17.93,15692800
08-02-2023,18.280001,18.360001,16.66,16.75,16.75,22771100
09-02-2023,17.075001,17.295,15.99,16.219999,16.219999,44423300
10-02-2023,11.15,11.22,10.23,10.31,10.31,146014600
13-02-2023,10.3,10.57,10.08,10.46,10.46,46640100
14-02-2023,10.16,10.82,10.06,10.76,10.76,32194900
15-02-2023,10.63,11.76,10.63,11.5,11.5,40714100
16-02-2023,11.33,11.57,10.98,10.99,10.99,22914100
17-02-2023,10.88,11.36,10.83,11.28,11.28,22224200
21-02-2023,11.03,11.055,10.54,10.69,10.69,22151800
22-02-2023,10.68,11.1,10.655,10.75,10.75,14045800
23-02-2023,10.835,10.865,10.46,10.57,10.57,16384600
24-02-2023,10.33,10.39,10.075,10.2,10.2,18861300
27-02-2023,10.27,10.31,9.93,10,10,20278300
28-02-2023,9.96,10.19,9.92,10,10,17437700
01-03-2023,10.06,10.129,9.825,9.9,9.9,13376000
02-03-2023,9.75,9.86,9.52,9.78,9.78,14665400
03-03-2023,9.88,10.13,9.84,10.12,10.12,18169000
06-03-2023,10.16,10.22,9.72,9.75,9.75,14274900
07-03-2023,9.75,10.02,9.6,9.88,9.88,15170300
08-03-2023,9.88,9.885,9.7,9.8,9.8,13763900
09-03-2023,9.825,9.86,8.9,8.92,8.92,26556100
10-03-2023,8.88,8.9,8.46,8.71,8.71,21511700
13-03-2023,8.54,8.62,8.19,8.46,8.46,16899100
14-03-2023,9.08,9.28,8.48,8.51,8.51,27042800
15-03-2023,8.28,9.13,8.21,8.99,8.99,25014700
16-03-2023,8.89,9.655,8.84,9.6,9.6,28538100
17-03-2023,9.57,10.12,9.471,10.06,10.06,27384900
20-03-2023,9.93,10.46,9.78,9.93,9.93,25829400
21-03-2023,10.1,10.5,10.005,10.46,10.46,14821500
22-03-2023,10.5,10.53,9.95,9.96,9.96,11948200
23-03-2023,10.14,10.27,9.605,9.83,9.83,10429300
24-03-2023,9.85,10.03,9.72,9.87,9.87,13162600
27-03-2023,9.995,10.05,9.412,9.6,9.6,12934700
28-03-2023,10.12,10.37,8.85,8.87,8.87,50052500
29-03-2023,8.98,9.125,8.6,8.98,8.98,34720500
30-03-2023,9.09,9.338,9,9.1,9.1,20019200
31-03-2023,9.07,9.37,9.03,9.27,9.27,14781900
03-04-2023,9.19,9.41,9.05,9.07,9.07,14578200
04-04-2023,9.11,9.585,9.03,9.55,9.55,17606400
05-04-2023,9.41,9.57,9.095,9.38,9.38,15603900
06-04-2023,9.45,9.605,9.21,9.43,9.43,11325800
10-04-2023,9.31,9.99,9.19,9.91,9.91,16390500
11-04-2023,10,10.37,9.96,10.35,10.35,15286200
12-04-2023,10.41,10.485,9.75,9.78,9.78,15528600
13-04-2023,9.905,10.065,9.825,10,10,9639600
14-04-2023,10.03,10.255,9.75,10.17,10.17,13288200
17-04-2023,10.21,10.475,10.15,10.45,10.45,13894100
18-04-2023,10.54,10.55,10.13,10.31,10.31,12387700
19-04-2023,10.17,10.405,9.9,10.27,10.27,13434000
20-04-2023,10.09,10.21,9.75,9.84,9.84,15183700
21-04-2023,9.85,10.52,9.585,10.44,10.44,46675514
