Date,Open,High,Low,Close,Adj Close,Volume
08-03-2022,136.683502,140.699493,133.572495,136.014496,136.014496,91662000
09-03-2022,139.5,140.25,136.828003,139.279007,139.279007,82656000
10-03-2022,145.684998,148.6745,143.977997,146.817505,146.817505,135062000
11-03-2022,149.574493,149.675003,145.369003,145.524506,145.524506,68900000
14-03-2022,145.981003,147.449997,140.884003,141.852997,141.852997,74086000
15-03-2022,142.850006,147.985001,142,147.366501,147.366501,75584000
16-03-2022,148.5,153.149994,147.3535,153.104004,153.104004,84958000
17-03-2022,152.640503,157.498505,152.139999,157.238998,157.238998,72934000
18-03-2022,156.813004,161.593994,156.011002,161.250504,161.250504,102962000
21-03-2022,161.121002,163.084,159.552994,161.491501,161.491501,66538000
22-03-2022,161.805496,166.167007,161.699005,164.889008,164.889008,64086000
23-03-2022,163.705002,166.369995,162.686996,163.408005,163.408005,55812000
24-03-2022,163.749496,164.1185,160.050003,163.649506,163.649506,56798000
25-03-2022,164,165.3685,162.25,164.773499,164.773499,49032000
28-03-2022,164.975006,169.037506,164.899994,168.990494,168.990494,59854000
29-03-2022,170.384003,170.831497,167.8685,169.315002,169.315002,66154000
30-03-2022,168.509506,168.9505,165.5,166.300995,166.300995,56168000
31-03-2022,166.445007,166.494995,162.953506,162.997498,162.997498,59966000
01-04-2022,164.149506,165.826996,162.319504,163.559998,163.559998,57090000
04-04-2022,164.125,168.394501,163.205505,168.346497,168.346497,49882000
05-04-2022,167.741501,168.110504,163.266006,164.054993,164.054993,53728000
06-04-2022,161.650497,162.199997,157.254501,158.755997,158.755997,79056000
07-04-2022,158.399994,160.078995,154.511505,157.7845,157.7845,68136000
08-04-2022,156.75,157.3685,154.231003,154.460495,154.460495,46002000
11-04-2022,152.712997,154.136505,150.5345,151.121994,151.121994,52112000
12-04-2022,153.692505,155.098999,150.382996,150.787506,150.787506,55178000
13-04-2022,150.018494,156.024994,149.600006,155.541,155.541,53390000
14-04-2022,155.389999,155.897003,151.472,151.706497,151.706497,51598000
18-04-2022,151.523499,154.039505,150.250504,152.785004,152.785004,46514000
19-04-2022,152.029495,158.649002,151.550507,158.115494,158.115494,54926000
20-04-2022,157.602493,157.602493,153.6035,153.998001,153.998001,59630000
21-04-2022,154.714005,156.738007,147.589493,148.296005,148.296005,63970000
22-04-2022,148.25,149.615005,143.697495,144.350006,144.350006,73078000
25-04-2022,144.022995,146.221497,142.306503,146.074005,146.074005,61874000
26-04-2022,144.800003,144.856003,138.929504,139.391006,139.391006,77530000
27-04-2022,140.191498,141.948502,135.783493,138.167007,138.167007,71336000
28-04-2022,142.177994,145.9375,140.300003,144.596497,144.596497,117316000
29-04-2022,129.848999,130.761002,121.625,124.281502,124.281502,272662000
02-05-2022,122.401001,124.667999,118.375,124.5,124.5,148788000
03-05-2022,124.053497,126.220497,122.824997,124.253502,124.253502,79134000
04-05-2022,123.599998,126,119.182999,125.928497,125.928497,110746000
05-05-2022,123,123.499001,115.072502,116.406998,116.406998,144392000
06-05-2022,114.849998,119.050499,113.081497,114.772499,114.772499,124260000
09-05-2022,111.3125,114,107.957001,108.789001,108.789001,128124000
10-05-2022,111.25,112.642502,107.170998,108.859001,108.859001,105434000
11-05-2022,108.1035,110.155998,104.428497,105.372002,105.372002,109704000
12-05-2022,102.75,110.780502,102.405502,106.930496,106.930496,132026000
13-05-2022,109.069,113.183998,107.800003,113.055,113.055,93684000
